"","df","Sum Sq","Mean Sum Sq","F value","Pr(>F)"
"FullModel","3","0.0552","0.0042","4.5377","0.0528"
"ReducedModel","2","0.0745","0.0053","",""
"FullModel1","3","0.1257","0.0097","4.4968","0.0538"
"ReducedModel1","2","0.1691","0.0121","",""
"FullModel2","3","0.1963","0.0151","6.3392","0.0257"
"ReducedModel2","2","0.292","0.0209","",""
"FullModel3","3","0.3626","0.0279","0.0888","0.7704"
"ReducedModel3","2","0.3651","0.0261","",""
"FullModel4","3","0.2791","0.0215","4.0051","0.0667"
"ReducedModel4","2","0.3651","0.0261","",""
"FullModel5","3","0.3621","0.0279","7.1729","0.019"
"ReducedModel5","2","0.5618","0.0401","",""
